Strategy,Cost (bps),CAGR,Sharpe
MA Crossover (20/50),0.0,0.08450858655222326,0.7695903012237484
Bollinger Mean Reversion,0.0,0.05109194904375647,0.4468093391474164
Momentum (252d),0.0,0.08919275577628505,0.6959148968120727
Buy & Hold SPY,0.0,0.14858058353642867,0.8570521783566973
MA Crossover (20/50),5.0,0.08206433892519405,0.7496483052852104
Bollinger Mean Reversion,5.0,0.04656891239969041,0.4137295146029428
Momentum (252d),5.0,0.08793103343285291,0.6871995440028464
Buy & Hold SPY,5.0,0.1485805835364289,0.8567739311851507
MA Crossover (20/50),10.0,0.0796243804616994,0.7296519696311073
Bollinger Mean Reversion,10.0,0.04206308885426413,0.3806205379783226
Momentum (252d),10.0,0.08667013876443574,0.6784699961189563
Buy & Hold SPY,10.0,0.14858058353642845,0.8564950283545262
MA Crossover (20/50),20.0,0.07475730949222537,0.6895171460748213
Bollinger Mean Reversion,20.0,0.03310285348037323,0.3143637628278695
Momentum (252d),20.0,0.0841508319453721,0.6609716869114296
Buy & Hold SPY,20.0,0.14858058353642845,0.8559352583184141
